context,response
"I can blow dry it. I can put gel on it. It doesn't matter, I still wind up with this little cowlicky thing on the middle part of my head. It's so annoying. Does it bug you?",You bug me.
I just got engaged to my girlfriend.,"Oh, great, so now you're officially contractually obligated to love someone who's still getting used to your face."
Wow! Why do you want to get rid of her so badly?,"Because she exchanges every gift she ever gets, it's like impossible to get her something she likes. Come on, let's trade!"
"All right, look, look, you've got to do this yourself, okay in person. At least you know her name. You just go to the house and you ask for Mary-Angela, okay, when which ever one she is comes to the door, you take her for a walk, you let her down easy.",What if Mary-Angela comes to the door and I ask for Mary-Angela?
How'd you get in there?,"Made a few calls, pulled some strings, and they agreed to seat us at 11:30 if we both had the chicken and didn't get desert."
I don't wanna give up the bag. I don't have to give up the bag! Do I Rach?,"Oh, hey! Yeah umm, they're called wallets."
"I wonder how I would react under fire, y'know? And not backfire but-but heavy fire, like I was in a war or something.",Before or after you were shot by your own troops?
I'm looking for Eddie Minowick.,"Oh, uh, he's not here right now, uh, I'm Chandler, can I take a message, or, or a fishtank?"
"Really? So, you're gonna stick with this 'it's all for her' thing?","What, are you crazy? When a blind man gets his sight back, does he walk around like this?"
I've decided to start a career as a professional snail trainer.,"Oh, finally, a job that combines your two greatest skills: patience and a complete waste of time."
"Well y'know, I've been walking the same way since high school. Y'know, y'know how some guys they walk into a room and everybody takes notice. I think I need a 'take notice' walk.",Are you actually saying these words?
It's not what you said. It's the way you said it...,"Oh My God, I'm a woman!!!"
What's this?,It's a hand. It's a thing you use as a Jack and Coke holder.
"That's kind of a masculine name, don't you think?",Works on you.
You can't tell anyone! No one knows!,It happened in London.
Men are such idiots.,Totally worth it!
I-I can't believe that sign didn't work!,Y'know what would work? Stop making candy!
Last time I left a spontaneous message I ended up using the phrase...,"""Yes indeedy-o."""
Your mom was arrested?,"Shhh, busy beaming with pride."
You got a minute? I-I really need to talk to you.,"Oh! Uh, yeah! Is this a cold pizza talk or a leftover meatloaf talk?"
"Hey-hey-hey, when uh, when were we on a boat?","Remember that really cold morning, you woke up and those dogs were licking your face?
Well, those were seals, man."
I've decided to start writing a novel.,"Oh, great, because the world is just missing a 500-page memoir about your feelings on socks."
Thanks for coming with me. And thanks again for helping me take a shower.,"Now, is that never talking about it again?!"
Here we go. I'm serving my last cup of coffee. There you go. Enjoy.,Should I tell her I ordered tea?
"I bring you here to see the Bapstein-King comet, one of nature's most spectacular phenomenon, and all you care about are bugs stuck in tar and-and some woman!","Y'know, there's two women dude."
"Hello? Yeah, this is she. Oh! You're kidding! You're kidding! Oh thank you! I love you!","Sure, everybody loves a kidder."
You're going down.,Oh yeah? You're going further down! Downtown!
We still haven't gotten an RSVP from your dad.,"Oh! Right. Umm, maybe that's because I didn't send him an invitation."
"Hey-hey, check out the hat!","What a minute, I know that hat! I was taken aboard that hat! They did experiments on me! I can't have children!!"
She serves to Doug who returns it to Chandler. As it bounces over his head Chandler swings and misses.,"Oopsey, missed it!"
"The wedding is off, sloppy and immature!",That's me! Come on!
"Hey, how was your chef thing?","Well, maybe it was the kind of food that tasted good at first but then made everybody vomit and have diarrhea."
"Forget what I said, I was babbling! Pick me!","No, no, no, I say you have to give your divorce another chance."
If you guys ever have kids...,Whoa-whoa-whoa! We're having kids?!
That's mean! You really had me going there!,"Oh, we could do this all day."
We're moving to Tulsa!,"The Sooner State, whatever that is."
Frank wants to name one of the boy babies Frank JR. JR.,Wouldn't that be Frank the III?
I've decided to become a professional clown.,"Oh, finally, a career that combines your love of silence and dignity."
I just got engaged to my soulmate.,"Wow, congratulations! Could I BE any more thrilled for you and your impending doom?"
"So what, you're just never going to tell her?","Oh, no, no, no, I will! I just want to butter her up, first! You know, I'm going to take her to an amazing Valentine's dinner. Do all this romantic stuff, and then, just when she thinks I'm the best boyfriend in the world, then I'm going to tell her that my pregnant ex-girlfriend is living with me."
I just got engaged to the love of my life.,"Oh, wow. Could this be the start of a beautiful, soul-crushing divorce?"
"Monica, you are now in control of my love life.","Okay, I gotta go to work."
Don't be too long.,Okey-dokey!
I just got engaged to my perfect match.,"Wow, perfect match? That's cute. Did you two meet at a 'I'm-a-control-freak' support group?"
"We were on the platform, ready to dance the world into the new Millennium, and the guy yelled 'CUT!'","Now you do that, you're on TV."
What did you mean when you said pivot?,"Oh, y'know, what did you mean when you said pivot?"
"If one of you had to pick one of the other two guys to go out with, who would you pick?",Joey! No way. I'm not answering that.
I've decided to start a garden in my backyard.,"Oh, great, because what every relationship needs is a competitive vegetable grower, silently judging their partner's tomato yield."
"Yes-yes, I was just trying to figure out a way to uh, demonstrate how I could get my exceptionally large feet into my even bigger mouth.",Didn't I tell ya? Always showin' off.
"Find the one where you make your bedroom eyes. Ohh, there it is.",Oh my God! Those are my bedroom eyes?! Why did you ever sleep with me?
"Ooh, look-look-look-look-look! I got Monica naked!","Nono, that would be me again."
He's asking you out after trying to arrest you?,He has a gun!
"Well, they're not mine!","Well, they're Joey's! They gotta be Joey's!"
You were in an I Hate Rachel club?,Everybody at my school heard it! You were the hermaphrodite cheerleader from Long Island?!
"Hey, who's this little naked guy?",That little naked guy would be me.
I'm really excited for my blind date tonight.,"Oh, joy, a complete stranger who's only talking to you because they haven't seen you yet."
I just got engaged to my girlfriend.,"Oh, great, so now you're officially contractually obligated to love her, even when she leaves the cap off the toothpaste."
How cool would it be if you could watch like a real life-sized version of this?,As crazy as soccer?
"Would you like some more coffee, baby-doll?","Yeah, see, I can't pull of baby-doll can I?"
"Oh please, could she be more out of my league? Ross, back me up here.","Thank you, buddy."
I'd shake your hand but uh; I'm really into the game.,"Plus, I think it'd be better for my ego if we didn't stand right next to each other."
I just got engaged to the love of my life.,"Wow, that's great. I'm sure the 37 times you've said that before had nothing to do with the open bar."
"Yeah, you've been avoiding her ever since we started going out. Look, I made an effort to like Janice, now I think it's your turn to make an effort to like Kathy by going out to dinner with us. Right?",Yeah. Right.
So does it really hurt as bad as they say?,Yeah. You won't be able to take it.
"Happy birthday Grandma! It's better to be over the hill then buried under it. All our love Monica and Chandler. That's funny, yeah!",No-no-no-no! That was the joke!
"So, assistant to the director. That's a really exciting job, I mean, you must have a ton of cool responsibilities.",I have nothing to do with casting.
I didn't know you read tea leaves.,"Oh yeah, I've done it for years. I actually stopped because I was so accurate. Y'know, and-and y'know, one of the great joys of life is it's-it's wondrous unpredictability. Y'know? And also tea tends to give me the trots."
Yeah... I just don't have that much cheffing experience.,Unless it's an all-toast restaurant.
"I ran into Vlad at the place where they sell the big fish, and he said you played here a lot, so umm....","All right listen, I have to go to the bathroom, but if the place with the big fish comes up again. I'd like know whether that's several big fish or just one big fish."
I'm looking for Eddie Minowick.,"Oh, uh, he's not here right now, uh, I'm Chandler, can I take a message, or, or a fishtank?"
I just got engaged to my girlfriend.,"Oh, wow, congratulations! Could I BE any happier for you?"
Maybe it's not what we think. Maybe it's tell Monica I'm sorry I...drank the last of the milk.,"Or maybe he-he was writing to tell her that-that he's changed his name, y'know? Tell Monica I'm sorry."
"Someone's left a glass on the coffee table. There's no coaster. It's a cold drink, it's a hot day. Little beads of condensation are inching their way closer and closer to the surface of the wood...",STOP IT!!
I'm really good at cooking now.,"Oh, yeah, because nothing says 'culinary genius' like setting off the fire alarm three times a week."
I was lucky enough to find someone that I really love,"Wow, y'know when you say it, it doesn't sound so scary"
I'm going to start writing a novel.,"Oh, great, because the world is just missing a 500-page manuscript about your feelings."
"Okay, could you just stop talking for a second?","Yemen. That's right, yes, I'm being transferred to Yemen!"
She's not gonna like the chicken that night either is she?,Y'know what? It's gonna be okay. Y'know what? She's probably not gonna even want to come.
Which part exactly?,The whole thing! Can we go?
"I used all my best stuff! I-I-I lit some candles. I put on some music. I used bath salts, plus bubble bath! And got you this little plastic Navy ship.","Well, this does butch it up a bit."
I don't know how you decide who to hire.,Did she call? You-you told her I was sick right? Always tell her I am sick!
"The basket is totally empty! My God, the neighbors ate all the candy!","Well, either that or uh..."
Look at him.,"Oh, I am no women, but that is one tasty dish."
Don't say things like that in front of Monica. I don't want you putting any ideas in her head.,Wh-wh-why?!
Old?,The young hot ball and chain.
I'm going to work on my interview skills for the coordinator of the woman's collection at Ralph Lauren.,Could I BE any more excited for you?
You won't boss me around anymore?,And you'll be nice?
"I didn't know you and Carol were getting divorced, I'm sorry.",Sorry? Finally chewed my leg out of that bear trap.
I just got engaged to my soulmate.,"Wow, congratulations! I'm sure the 37 other guys she's dated were just, you know, practice."
What's that smell?,I know!
Phoebe takes a bite and spits it out and screams.,"Okay, I'm not gonna have one."
"Yeah, well look at this kitchen, slash bathroom.",Well that's great! Y'know so you can cook while in the tub.
There's a dog sitting on my couch,"Tell her, I'm allergic, and I will sue"
"I love you, man.",I'm still on my first. I just think you're nice.
"I bought groceries, I was gonna make you dinner!",Well next time ask! Or at least wait for me to ask!
You know whose knowledge of her ex-boyfriend is shocking?,"Oh, and you know whose knowledge of her ex-boyfriend is shocking? Monica!"
"Ya know I remember my father, all dressed up in the red suit, the big black boots, and the patent leather belt, sneakin around downstairs.",Who said anything about Christmas?
"Say, what's your favourite thing about summer?","Ohh, that's a good one."
You guys die and I don't get your baby?,Well who would?
What's the big deal about a holiday card?,"Married couples send out cards, families send out cards, people who have been dating for a couple of months do not send out cards!"
Monica and the others discuss the Swing Kings and their appropriateness for the wedding.,But I love swing music!
Doesn't it ever just freak you out that-that you're never gonna be with anybody new again?,"No. No, see when I first meet somebody it's uh it's mostly panic, anxiety, and a great deal of sweating."
That's a plane!,"Well, all right. 1700 bags of peanuts flying that high, that's pretty amazing too."
"All right, what else?","Well uh, there was acting classes, stage combat classes, tap classes..."
"She's with this other guy. For a long time. And I could never do that to the guy, y'know? 'Ccause we're really good friends.",Then talk to him! He might be fine with it.
I just got engaged to my girlfriend.,"Oh, wonderful! Could I BE any more thrilled for you?"
"Oh, they're just gonna umm, look to see if my endometria layer is thick.","Oh, I can uh, check that for ya."
What could she possibly be hiding in here that I can't see?,"I don't know. Ooh, I bet it's Richard."
I just got engaged to the love of my life.,"Wow, congratulations! I'm sure the 12 minutes you've known them is a solid foundation for a lifetime of happiness."
I know! That's why we got to find Monica!! You know where she is?,No!! Okay!! What's with the third degree?! Why don't you just shine a light in my eyes?!
Phoebe knows about us!,"Ahh yes, the messers become the messies!"
Hey Chandler! Did you like the macaroni and cheese?,"Oh yeah, it was great. You should be a chef."
I just got engaged to my soulmate.,"Wow, that's great. I'm sure the 37 others you've called your soulmate will be thrilled to hear that."
I just got engaged to my girlfriend.,"Oh, wow! Because nothing says 'I love you' like a ring and a lifelong commitment to someone who's still getting used to your snores."
You cry every time somebody talks about Titanic!,Those two only had each other!
"Y'know those big-big uh, road signs that say 'Merge?'","Y'know? So I was thinking that we could get one of those signs and hang it over our bed. Because, that's you and I together! Merge!"
"All right! Here we go! 1999! The year of Joey!
What's the matter?!","We wanted to kiss at midnight, but nobody else is going to so y'know..."
"Chandler M Bing? It's not just an M, your middle name is Muriel!!",Shh! It is a family name!
You broke Joey's chair?,Whoa-whoa-whoa! You broke Joey's chair? I thought I broke Joey's chair! That's why I replaced it with mine!
I just got engaged to my girlfriend.,"Oh, wow, because nothing says 'I love you' like a lifelong commitment to someone who's seen you eat an entire pizza by yourself."
I just got engaged to my soulmate.,"Oh, wow. Because nothing says 'true love' like a lifelong commitment to someone who still thinks you're cool."
"All jokes aside, where is this relationship going?","Wait a minute, all jokes aside? I didn't agree to that!"
"Okay, I've got some Ones, you wanna put them in her panties?","No thanks, Mom!"
"Alright, I've got a leg, three breasts and a wing.","Well, how do you find clothes that fit?"
Phoebe and Gary think they're a hotter couple than we are!,"Ohh, so?"
"Why should I? I mean if she wants to move on, that's fine!",You know when 'That's fine' sounds true when someone yells it and spits!
What else would I do?,"Uh, what about y'know the massage thing? That never gave you a heart attack."
That's not whipped! Whipped is wh-tcssh!,That's what I did. Wah-pah!
"I just, I can't believe that we made it!",Well you don't have to sound so surprised.
I just got engaged to my girlfriend.,"Wow, congratulations! Could I BE any more thrilled for you?"
I know that your dad embarrassed you.,"No-no all kids are embarrassed by their parents, you'd have to come up with a whole new word for what I went through."
You just can't stand anyone else enjoying themselves can't you?,I'm Chandler; I make jokes when I'm uncomfortable.
It's almost our anniversary!,I know. Can you believe it? One year ago today I was just your annoying friend Chandler.
How you doin?,"Yeah, now how's that going though? Are you okay with the not-flirting thing?"
If you thought I was going to get you porn for Valentine's Day... you were right!,"Well, I'm not really in a sexy mood right now."
"I'm calling for Monica Geller. I want to let her know that there was a cancellation and if she's still interested in having the Bing-Geller wedding at our facility, it is available...","This is Chandler Bing! This is Chandler Bing! Yes, the groom-No! Not the groom!!"
I just got engaged to my soulmate.,"Wow, that's great. Could I BE any happier for you?"
Ross said our Dad took the trophy and.... threw it in the lake.,And was the curse lifted?
"God, your hair sure is different! Now","Yeah, we were just talking about that. I can't believe how stupid we used to look."
"Joey Tribbiani: It just seems so futile, you know ? All these women, and nothing. I feel like Superman without my powers, you know? I have the cape, and yet I cannot fly.","Well now you understand how I feel every single day, ok? The world is my lesbian wedding."
I just got engaged to my soulmate.,"Wow, a soulmate. How convenient. Now you'll never have to use Tinder again."
I just got engaged to my soulmate.,"Wow, that's amazing. I'm sure the fact that you've known them for three weeks has nothing to do with it."
I just got engaged to the love of my life.,"Wow, congratulations! Could I BE any more thrilled for you... and your impending doom?"
"Monica, what are you doing?! It's never gonna happen, she's seeing somebody.","Yeah, and I don't have any cologne."
In the beginning where y'know it's all sex and talking and sex and talking and...,"Yeah, you-you gotta love the talking."
I just got engaged to the love of my life.,"Wow, congratulations! I'm sure the 12 minutes you've known them is a solid foundation for a lifetime of happiness."
I just got engaged to my soulmate.,"Wow, congratulations! Could I BE any more thrilled for you and your impending lifetime of compromise and arguing over whose turn it is to do the dishes?"
What's this?,An invitation for the At First Sight premiere? Oh my God! Val Kilmer didn't wear this in Batman! He wore it to the premiere of some tooty-fruity love story where he played a blind guy!
The neighbors ate all my candy!!,Mine stole my newspaper! It's like a crime wave!!
What's-what's going on? Phil's really pissed!,Monica's wasted.
You still looking for a place?,Yeah! Why?
I would do it but she thinks I'm attracted to her!,Why?
She's there?!,"Oh yeah, there-there she is!"
I'm going to start writing a novel.,"Oh, great, because the world is just missing a 500-page manuscript about your feelings."
"Monica Geller: Probably some y'know, European good-bye thing he picked up in London.
Rachel Green: That's not European!","Well, it felt French."
"All right look man, I didn't want to bring this up, but Chandler, is the stupidest name I ever heard in my life! It's not even a name; it's barely even a word. Okay? It's kinda like chandelier, but it's not! All right? It's a stupid, stupid non-name!","Wow, you're, you're right. I have a horrible, horrible name."
It's a dead dog. That's Chi-Chi; she died when I was in high school.,It's your parents' anniversary and you're going to talk about their dead pet?
I just got engaged to my perfect match.,"Oh, wow! I'm sure the 37 online quizzes you took had nothing to do with it."
"Okay, I'm going to take him back to Wendy's.","No, no, no, no! He's fine! Look, look, look! Here's your ball! Get your ball! Get your ball! Get your ball! My God, what have I done to you, huh? I broke the dog! Pheebs, I broke the dog!"
I really come off that badly?,"Oh good. Good, because I'm sure this interview is gonna last a couple of weeks."
Then all your stuff would be here.,"Well, what if all my stuff was here?"
You're not helping!,Singing 'I will survive' in a helium voice - not helping.
"And the reason I'm doing this is because I am Joey's friend. And if you were a good friend, you'd be doing the same thing.","Oh, so being a good friend means acting like a total jerk?"
I'm one of the people who applied for the apartment. And I-I realize that the competition is fierce but-I'm sorry.,"I, I can't help but notice you're naked and I applaud you. Man, I wish I was naked."
"I just get off the plane, so I'm feeling kinda gross. Maybe I should just take a shower.","The truth is, I soiled myself during some turbulences."
"Get him! GET HIM! Get him! Get- YESSS! Not laughing now, are ya pal!","See buddy, that's all you need, a bunch of toothless guys hitting each other with sticks."
I just got engaged to my soulmate.,"Wow, congratulations! Could I BE any more thrilled for you and your impending lifetime of compromise and arguments over whose turn it is to do the dishes?"
You got another ex-wife back there?,Please start drinking!
And you'll be topless?,And-Joey!
What?! I just touched him and he went over.,"Okay, you wanna play rough, we can play rough."
"All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here.",Really?!
We got a lot of time to kill and we're in a building that's full of beds!,And it's so clean!!
Ice Capades.,"Wow, this is serious. Ive never known you to pay money for any kind of capade."
"Oh my God, the cat's made my eyes water! Don't-don't throw it to me! My vision's been compromised!!","Yeah, you almost overreacted to something."
"You know who else picked Rachel? Ross, and you know what else Ross did? He stole my joke.",You know what? I'm going to get a joke journal. Y'know? And document the date and time of every single one of my jokes.
I'd like to have Don and Phoebe over. Wouldn't that be nice?,"Sure, why don't you set it up. I'll just be over here, browsing through the personals."
"I don't know... um, Grease?",Rent?
I'm going to start learning how to cook.,"Oh, fantastic! Because the world was just missing your unique blend of charcoal and regret."
I seem to remember someone bringing his security blanket to college!,That was not a security blanket! That was a wall-hanging!
You look great! That bag is gonna get you that part.,And a date with a man!
My sandwich was next to Ross. I was trying to save my sandwich.,From a bullet!
I just got engaged to my soulmate.,"Wow, a soulmate. How convenient. Now you'll have someone to share your therapy bills with."
"Joey Tribbiani: I can't believe it's Christmas already. Ya know, I mean, one day your eatin' turkey, the next thing ya know, your lords are a-leapin' and you geese are a-layin'.",Which is why geese are so relaxed this time of year.
"Okay! Come on, no peeking!",Our eyes are closed and we're about to cross the street. Very good.
I want a baby.,"Mmmm. Not tonight, honey. I got an early day tomorrow."
Yes have you seen any?,"No. No, haven't seen a monkey. Do you know anything about fixing radiators?"
I'm going to start learning how to play the guitar.,"Oh, great, because the world was just missing a 30-year-old man playing 'Stairway to Heaven' in his mom's basement."
I just got engaged to my girlfriend.,"Oh, wow! Could I BE any more thrilled for you?"
Did he say anything about me?,Would you like some pancakes?
"Joey Tribbiani: Yeah. He's gonna keep cheating on my ma like she wanted, she's gonna keep pretending she doesn't know even though she does, and my little sister Tina can't see her husband any more because he got a restraining order...which has nothing to do with anything except that I found out today.",Things sure have changed here on Waltons mountain.
"Phoebe?
Phoebe Buffay: Yeah. Um... I'm out.",Couldn't be more out.
God! Ooh! What is that smell? It's coming from the bathroom. Ooh!,Wow! Pregnancy does give you some weird cravings.
"So don't think of it as a bachelor party, think of it as a...a two month anniversary present.","Look, I appreciate it, but uh, it's a little creepy. Y'know? I'm not a bachelor anymore."
You weren't trying to entice me with your nakedness.,Art lover!
I just got engaged to my soulmate.,"Wow, a soulmate. How convenient. Now you can spend the rest of your life with someone who's contractually obligated to love you."
"Those were like the best seats ever. Hey! Should we give these shirts to the girls? Y'know, kinda like a peace offering.","Oh yeah, that's very nice. Plus, y'know they were free and they're too small."
I have the lung capacity of a two year old.,Well it's very unsettling.
"Hey Rach, what time do you get off? We're all gonna do something tonight.","Hey, yeah... we could all sleep together and then one of us could get amnesia."
I just got engaged to my girlfriend.,"Wow, congratulations! Could I BE any more thrilled for you... said no one who knows you."
Why not?,'Cause it's gross.
I don't even really know where I left those. Sorry.,Those aren't eleven and a half.
You'll be perfect for this! That's already your name!,But the audition's in a couple hours and I don't even understand the game.
I just got engaged to my soulmate.,"Wow, that's great. I'm sure the 37 people you dated before her were just, you know, practice marriages."
I just got engaged to my girlfriend.,"Wow, congratulations! Could I BE any more thrilled for you?"
"Look it's not that bad. So what, it blocks a little of your door, a little of my door.","Yeah, y'know what I got a better idea. How-how 'bout it blocks none of mine door and a lot of yours?"
Would it really have been that easy?,Yes!!!
"You don't, like go into the back of my closet, and look under my gym bag or anything?","Because that's where Joey gave me some stuff to store that I've never seen before in my life! Okay, that did not just happen!"
"I feel a little umm... No, y'know what? Nevermind, I'm gonna be fine.","Oh, don't worry about it I mean you probably were tired, you had a lot of champagne, it happens to everybody."
I've decided to start writing a novel.,"Oh, great, because the world is just missing a 500-page memoir about your feelings on socks."
"Actually she's a paleontology doctoral candidate, specializing in the centazoic era.","Okay, but that's, like, the easiest era."
"I hope by maid you mean mistress, because if some other woman was here cleaning then...","Uh honey, I know you don't like to relinquish control..."
I'm gonna need a copy of those divorce papers.,Totally.
"Well now you have two. Hey, I am good at math.","Hey! Well, I've been preparing for that my entire life! Or something about you that's mean!"
"So uh, Emily called last night...",And now you're giving me the message!
"I was walking down the street thinking, 'I'm gonna tell the father today' and then bam!",Bus?
You peed on yourself?,It hurts me. It physically hurts me.
"Phoebe Buffay: Hi! Oh, yeah, no, I know. You're a chef. I know, and I thought of you first, but um, Chandler's the one who needs a job right now, so....",Yeah... I just don't have that much cheffing experience. Unless it's an all-toast restaurant.
You opened all the presents without me?! I thought we were supposed to do that together!,Call it even?!
You pick who ever you want. Okay? You just listen to your heart. What does it tell you?,You really want to take me?
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page memoir about your feelings on socks."
"Okay, but after that, we're shootin' some pool.","Excuse, I seem to have dropped my ball."
Before we go out there I've got a present for ya.,I've been taking dancing lessons.
Then what did happen?,"Okay, the ring fell on the floor and I went down to pick it up and you thought I was proposing."
"I was just in the bathroom, and there's mirrors on both sides of you. So when you're in there it's like you're peein' with the Rockettes.","Wow, there's my fantasy come true. No, seriously."
"Ross, Chandler wrote something about me on his computer and he won't let me see.","Yes, yes it is, short story, that I was writing."
Six-hour trip to London. That's a lot of Monica.,"Condoms, dude!"
Did you ever have a threesome?,"Well uh, look I uh, I think Carol's great and I'm sure you're a very attractive man, but I...."
I've decided to start writing a novel.,"Oh, fantastic! Because the world was just missing a 500-page memoir about your feelings on socks."
I can't believe Ross went out with Rachel's sister! When Chandler made out with my sister I was mad at him for 10 years.,That was like 5 years ago.
"Hello! I'm in the front seat, okay? I'm Gary's partner!","Y'know, when you say partner it doesn't sound cop. It, it sounds gay."
Why don't you correct him?,"Oh it's been going on way to long now. Y'know, I mean the first time he said it we were just passing each other in the hallway, so I didn't say anything."
I just got engaged to my soulmate.,"Wow, that's great. I'm sure the 37 other guys she dated before you were just, uh, 'practice'."
"Oh, that is so sick.",I feel violated. And not in a good way.
You can't return a box after you've opened it. Why not?,Because it's too delicious.
"Ooh, what a shame! Because with her face and her chest I could really put something together.",Could I borrow it?
"Yeah, my agent just called me with an audition for Days of Our Lives!
Phoebe Buffay: Oh, well, we have to celebrate. You know what we should do? We should do, like, a soap opera theme.","Hey, yeah... we could all sleep together and then one of us could get amnesia."
What's going on?,We're flipping Monica's mattress.
"Girl 2 On Bus: So uh, you wanna go to Marquel's?","Oh, sure, they love us over there."
I just got engaged to my soulmate.,"Wow, that's amazing. I'm sure the 37 seconds you've known them is a solid foundation for a lifelong commitment."
Why would a charity give away a free boat?,I don't know! Charity?
I've just been thinking about how my baby and I are gonna be all alone.,What are you talking about alone? What about Ross?
You got fake numbered.,"I don't know! You were a delight to talk to. You asked all those insightful, great questions."
"Ok, while Ross is on the phone, everybody owes me 62 bucks for his birthday.","Hey, come on, we got the gift, the concert, and the cake."
I'm giving you the big white dog as a thank you for being a great roommate.,I can't take the big white dog! You love it!
I've decided to start a cooking blog.,"Oh, fantastic! Because the world was just missing a blog about your ability to burn water."
"So uh, what are you in for?","What a coincidence, I listen in my sleep."
What's the occasion?,"Monica and I are celebrating our ten-month anniversary, we've got reservations at Ja George."
"Okay, she is the star of the play. And she is my girlfriend! I get to have sex with the star of the play!
People can hear you.",I know!!
"Hey! So, did you quit?","No, I almost did, couldn't leave Ross there without a spotter!"
"Hey, wouldn't be cool if our duck and chick had a little baby? We could call it Chuck.",Or... Dick.
I just got engaged to my girlfriend.,"Wow, congratulations! Could I BE any more thrilled for you?"
"Aww, man, now we won't be bank buddies!","Now, there's two reasons."
This is unbelievable. Its been like a half an hour.,"If this was a cartoon, youd be looking like a ham right about now."
"I tired attacking two women, did not work.","I mean, they're my friends. In fact, I was married to one of them."
I just got engaged to the love of my life.,"Wow, that's amazing. I'm sure the 37 other women you've dated were just, you know, practice."
I've decided to become a professional snail trainer.,"Oh, finally, a career that combines your love of slimy things with your impressive ability to move at a glacial pace."
"Ooh, that girl that I hate, eww, drives me crazy, eww, eww, oh!","Look, I don't hate Janice, she's-she's just a lot to take, you know."
You lied so you could run by yourself.,"No, no Phoebe no, I was...no. You know what, I was, I was actually just checking to, see, if I could run. And I can!"
You went out with my wife!,"Whoa-whoa-whoa-whoa, I-I-Hey! I did not go out with your wife! Okay? I went out with her!"
"So what's a matter, you need a dentist? I've got a good one.",See that is the problem with invisible dentists.
"What if Monica dies, then who gets Emma?","If crazy plate lady dies, then I would get Emma, Right?"
"She's been out there for twenty minutes, I'm surprised you didn't hear her on the way over.","Okay, you get her in here. You bolt the door. I'll be in the closet."
I said name one!,BEND OVER?!!!
You can't stay here tonight.,"Honestly? Our apartment is a hotbed for electromagnetic activity. Now Monica and I have been immunized, but sadly you have not."
I just got engaged to my girlfriend.,"Wow, that's great. Could I BE any more thrilled for you... said no one ever."
"Maybe we'll be seeing each other at dinner tomorrow night, say around 8 o'clock?","Well, maybe we will. Oh!"
I just got engaged to my soulmate.,"Wow, that's amazing. I'm sure the 37 minutes you've known them is a solid foundation for a lifetime of love and not at all a desperate cry for help."
Someone at work ate my sandwich!,"Well, what did the police say?"
I just got engaged to my girlfriend.,"Oh, great. Because what you really needed was someone to judge you for playing video games at 3 AM."
What's the matter?,"I don't know, it's these new shoes, they're all slippery"
I just did it so my Mom wouldn't give me grief about me biting them.,"Oh, no, I meant that it's weird that you only have nine now."
That better?,Yes... thank you. That was... that was....
"You know, Barracuda was the first song I learned to play on the keyboard.","So, you heard it, you repeated it, so that must mean you wrote it."
Phoebe wants to be thanked for writing her book,"Thank you for writing your book, its-its uh, great book and you are the queen of everything."
Which one was Deep Impact and which one was Armageddon?,"Deep Impact was the one with Robert Duval, Armageddon is what's going to happen to you if you wake me up."
"Ross, Chandler and Joey told you not to tell Rachel about the other woman?","Wax the door shut, we're never leaving, ever."
